type,adress,price,link_image
Chaussures avec chapeau ,"Grand Dakar, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5646401_uploaded_image1_1764371645.jpg
Chaussures  homme,"Parcelle Assainies, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5642098_uploaded_image1_1764157446.jpg
Chaussures  homme,"Parcelle Assainies, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5640323_uploaded_image1_1764078277.jpg
Chaussures  homme,"Parcelle Assainies, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5640318_uploaded_image1_1764078147.jpg
Chaussures  homme,"Diamalaye 1, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5640260_uploaded_image1_1764076783.jpg
Chaussures  homme,"Diamalaye 1, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5640258_uploaded_image1_1764076664.jpg
Chaussures  homme,"Colobane, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5640219_uploaded_image1_1764075154.jpg
Chaussures homme ,"Parcelle Assainies, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5637204_uploaded_image1_1763926350.jpg
Baskets Asics,"Parcelle Assainies, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5630752_uploaded_image1_1763589625.jpg
Chaussures en daim Zara,"Ouakam, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5630025_uploaded_image1_1763560555.jpg
Sandales homme,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5627951_uploaded_image1_1763472221.jpg
Chaussures  homme,"Sicap Liberté, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5625915_uploaded_image1_1763379573.jpg
Chaussures en cuir pour homme,"Colobane, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5624803_uploaded_image1_1763314804.jpg
Chaussures  homme,"Parcelle Assainies, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5623102_uploaded_image1_1763203756.jpg
Chaussures Hugo Boss,"Colobane, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5622144_uploaded_image1_1763141369.jpg
Chaussures homme ,"Colobane, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5621182_uploaded_image1_1763077582.jpg
Babouches  homme,"Point E, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5619673_uploaded_image1_1763023060.jpg
Tapettes homme  ,"Dakar Plateau, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5618783_uploaded_image1_1762964858.jpg
Babouches  homme,"Dakar Plateau, Dakar, Sénégal",18 000CFA,https://images.coinafrique.com/thumb_5618775_uploaded_image1_1762964709.jpg
Babouches  homme,"Point E, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5618698_uploaded_image1_1762962167.jpg
Balenciaga ,"Parcelle Assainies, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5618425_uploaded_image1_1762956121.jpg
Babouches  homme,"Dakar Plateau, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5616251_uploaded_image1_1762866056.jpg
Babouches  homme,"Dakar Plateau, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5616009_uploaded_image1_1762860359.jpg
Baskets Nike,"Colobane, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5613411_uploaded_image1_1762726719.jpg
Sandale Orthopédique Birkenstock,"Mermoz-Sacré Coeur, Dakar, Sénégal",29 500CFA,https://images.coinafrique.com/thumb_5569336_uploaded_image1_1760194310.jpg
Chaussures en cuir,"Almadies, Dakar, Sénégal",16 000CFA,https://images.coinafrique.com/thumb_5610456_uploaded_image1_1762521928.jpg
Sneakers homme,"Almadies, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5610449_uploaded_image1_1762521706.jpg
Chaussures  homme,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5610109_uploaded_image1_1762509011.jpg
Chaussures hommes ,"Dakar Plateau, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5609232_uploaded_image1_1762455930.jpg
Chaussures homme,"Dakar Plateau, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5609229_uploaded_image1_1762455773.jpg
Chaussures homme ,"Guediawaye, Dakar, Sénégal",13 500CFA,https://images.coinafrique.com/thumb_5608889_uploaded_image1_1762441070.jpg
Chaussures  homme,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5608405_uploaded_image1_1762426274.jpg
Chaussures  homme,"Dakar Plateau, Dakar, Sénégal",1 000CFA,https://images.coinafrique.com/thumb_5608086_uploaded_image1_1762416663.jpg
Sandales Alexandre MC Queen,"Rufisque, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5607540_uploaded_image1_1762380090.jpg
Baskets New Balance ,"Dakar, Sénégal",16 900CFA,https://images.coinafrique.com/thumb_5604084_uploaded_image1_1762212669.jpg
Baskets TN ,"Dakar, Sénégal",16 900CFA,https://images.coinafrique.com/thumb_5604077_uploaded_image1_1762212426.jpg
Baskets New Balance ,"Dakar, Sénégal",16 900CFA,https://images.coinafrique.com/thumb_5604075_uploaded_image1_1762212336.jpg
Chaussures hommes ,"Diamalaye 1, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5603314_uploaded_image1_1762181979.jpg
Baskets Adidas ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5603000_uploaded_image1_1762171793.jpg
Chaussures homme ,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5600252_uploaded_image1_1762008921.jpg
Mocassins homme ,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5600246_uploaded_image1_1762008803.jpg
Chaussures bouts,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5600244_uploaded_image1_1762008703.jpg
Chaussures homme ,"Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5600240_uploaded_image1_1762008540.jpg
Chaussures homme ,"Dakar Plateau, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5600236_uploaded_image1_1762008222.jpg
Chaussures homme ,"Dakar Plateau, Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5600233_uploaded_image1_1762008119.jpg
Bottes homme,"Dakar Plateau, Dakar, Sénégal",28 000CFA,https://images.coinafrique.com/thumb_5600232_uploaded_image1_1762007958.jpg
Baskets All Star ,"Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5599179_uploaded_image1_1761936293.jpg
Baskets New Balance ,"Fass, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5557732_uploaded_image1_1759538261.jpg
Sandales en cuir ,"Dakar Plateau, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5595893_uploaded_image1_1761763941.jpg
Sandales homme,"Dakar Plateau, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5595866_uploaded_image1_1761763043.jpg
Baskets Adidas superstar ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5587688_uploaded_image1_1761224531.jpg
Baskets Adidas superstar ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5587686_uploaded_image1_1761224456.jpg
Baskets New Balance 1000,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5582640_uploaded_image1_1760962573.jpg
Baskets Adidas adistar,"Dakar, Sénégal",18 000CFA,https://images.coinafrique.com/thumb_5577775_uploaded_image1_1760656709.jpg
Chaussures Nike zoom running,"Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5581224_uploaded_image1_1760883477.jpg
Chaussures TN full Black ,"Dakar, Sénégal",17 000CFA,https://images.coinafrique.com/thumb_5581215_uploaded_image1_1760883280.jpg
Baskets Crampon phantom,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5552695_uploaded_image1_1759324410.jpg
Baskets Louis Vuitton ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5552643_uploaded_image1_1759323436.jpg
Baskets  Reebok ,"Dakar, Sénégal",22 000CFA,https://images.coinafrique.com/thumb_5552649_uploaded_image1_1759323592.jpg
Baskets Yeezy 700 v2,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5552657_uploaded_image1_1759323687.jpg
Baskets Vans knu scool,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5552664_uploaded_image1_1759323810.jpg
