type,adress,price,link_image
Ensemble homme,"Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5551999_uploaded_image1_1759307137.jpg
Pantalon bas large,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5550768_uploaded_image1_1759250295.jpg
T-shirt Lacoste ,"Dakar, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5584603_uploaded_image1_1761052072.jpg
Ensemble short,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5569824_uploaded_image1_1760223295.jpg
T-shirts 100% coton ,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5555673_uploaded_image1_1759439295.jpg
Caleçons ,"Dakar, Sénégal",1 000CFA,https://images.coinafrique.com/thumb_5549020_uploaded_image1_1759172798.jpg
Pantalon bas large,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5549025_uploaded_image1_1759172921.jpg
T-shirts unique 100% coton ,"Dakar, Sénégal",3 000CFA,https://images.coinafrique.com/thumb_5549028_uploaded_image1_1759173041.jpg
Short jeans,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5549017_uploaded_image1_1759172693.jpg
Jeans,"Dakar, Sénégal",9 000CFA,https://images.coinafrique.com/thumb_5548983_uploaded_image1_1759170801.jpg
Short,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5548982_uploaded_image1_1759170753.jpg
Lacoste ,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5548975_uploaded_image1_1759170491.jpg
Sous vêtements,"Dakar, Sénégal",1 500CFA,https://images.coinafrique.com/thumb_5548980_uploaded_image1_1759170623.jpg
Polo ,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5555324_uploaded_image1_1759429771.jpg
Survêtement Nike,"Grand Dakar, Dakar, Sénégal",60 000CFA,https://images.coinafrique.com/thumb_5588326_uploaded_image1_1761262675.jpg
Survêtement Nike,"Grand Dakar, Dakar, Sénégal",50 000CFA,https://images.coinafrique.com/thumb_5588324_uploaded_image1_1761262516.jpg
Ensemble nike tech,"Grand Dakar, Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5588318_uploaded_image1_1761262014.jpg
Ensemble blouson,"Grand Dakar, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5588312_uploaded_image1_1761261836.jpg
Costumes africains,"HLM, Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5547717_uploaded_image1_1759098205.jpg
T-shirts Kaddù dund,"Dakar, Sénégal",4 500CFA,https://images.coinafrique.com/thumb_5586874_uploaded_image1_1761172153.jpg
T-shirts,"Dakar, Sénégal",4 500CFA,https://images.coinafrique.com/thumb_5586869_uploaded_image1_1761171855.jpg
Blouson,"Dakar Plateau, Dakar, Sénégal",9 000CFA,https://images.coinafrique.com/thumb_5585179_uploaded_image1_1761084798.jpg
Boubou homme,"Gueule Tapée, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5583429_uploaded_image1_1760991166.jpg
Tee-shirts,"Yoff, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5583295_uploaded_image1_1760984169.jpg
Emsemble coton par taille,"Colobane, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5527950_uploaded_image1_1758015984.jpg
Pantalon coton,"Colobane, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5527936_uploaded_image1_1758015699.jpg
Kargo,"Colobane, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5527932_uploaded_image1_1758015495.jpg
Blouson,"Diamniadio, Sénégal",13 500CFA,https://images.coinafrique.com/thumb_5574075_uploaded_image1_1760470253.jpg
Vêtements homme,"Grand Dakar, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5573636_uploaded_image1_1760452221.jpg
Vêtements homme,"HLM, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5570642_uploaded_image1_1760291454.jpg
Vêtements de pluie,"Colobane, Dakar, Sénégal",2 000CFA,https://images.coinafrique.com/thumb_5523711_uploaded_image1_1757769579.jpg
Abimen homme,"Parcelle Assainies, Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5569789_uploaded_image1_1760221691.jpg
Patolon pour homme ,"Fass, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5524496_uploaded_image1_1757811429.jpg
Patolo pour homme ,"Fass, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5524480_uploaded_image1_1757810630.jpg
